Loan ID,Loan Grade,Exception IDs
2512186.34,100,3
1985977.43,86,1|3
7495393.42,98,3
1582359.51,100,3
1903505.2,92,2|3
8544952.86,98,2
1747587.53,92,3
9568147.08,90,1|3
6327382.57,92,1|3
7780143.09,96,1
5312526.08,86,1|3
9960780.16,100,
829325.27,100,3
1059106.7,94,1|3
3670578.46,90,1|3
8495264.59,96,1
8144634.75,96,1
1230074.53,82,1|3|4
5819939.51,99,2
7047242.54,94,1|3
231505.3,100,
4262836.05,94,3
6912432.71,56,3|4
103079.75,100,
6412049.56,95,1|2|3
4784888.41,96,1
1583430.23,68,2|4
612402.09,86,1|3
8719522.19,96,1
9276356.5,100,
5136398.1,94,3
365297.92,100,
740311.35,100,
2356068.9,96,1
2512578.36,99,2
4804191.57,94,3
6007675.13,88,1|2|3
8914201.21,96,1
3779714.17,100,
3715441.82,100,
430902.6,96,1
6048776.47,86,1|3
6750127.82,96,1
795669.47,92,1|3
2010929.38,96,1
7042784.95,96,3
3557631.75,100,
1965619.89,86,1|3
2915344.24,99,2
6801088.45,96,1
7746219.27,100,
6764294.83,95,1|2
1610196.14,100,3
2943470.7,92,1|3
3660601.19,97,2|3
2931047.34,100,
4049749.04,94,3
2158003.22,100,
5231829.75,96,1
3653949.64,100,3
3976537.26,86,1|3
5526307.78,90,3
3680176.65,86,1|3
7897674.0,100,
1169473.13,66,1|4
687197.35,97,2|3
1678959.17,95,1|4
8766277.81,94,1|3
8822995.17,96,1
7527511.74,96,1
6745308.44,96,1
6053927.9,90,3
8827077.05,96,1|3
8244521.2,96,1
6246057.03,100,
7449905.27,96,1
508085.86,98,3
2566808.71,92,1|3
293012.5,96,1
6021885.26,46,1|4
5847183.61,96,1
140257.56,98,3
3667093.07,95,1|2
7601010.16,100,
8252718.56,92,3
9565467.02,100,
4390159.92,100,
6546706.08,96,1
9433556.82,97,2|3
5730002.16,100,
2589729.06,96,3
2149744.82,92,2|3
7148229.53,38,2|4
4801327.62,100,
9821349.79,96,3
6123724.81,40,1|3|4
7839991.38,88,1|3
712817.89,90,1|3
4035026.27,100,
263469.82,96,1
347699.84,95,2|3
5854000.01,95,1|2
9525452.46,96,1|3
5113378.68,90,1|3
8906809.7,90,3
8728379.42,88,1|3
893048.91,96,1
1603686.23,100,
7313492.31,95,1|2
6926289.62,92,2|3
2783713.17,72,1|3|4
3127487.31,95,1|2
145632.1,92,3
7361612.78,96,1
171938.05,98,3
5749415.96,96,1
1638012.32,96,3
3574759.08,87,2|3
1371436.75,80,4
95062.15,96,1
7835723.31,96,1
4714034.19,96,3
861927.22,100,
144616.68,96,1|3
1567144.16,97,2|3
8100335.72,100,
5515238.77,96,3
1863379.95,96,1|3
9375418.15,86,1|3
7999113.59,95,1|2
822683.34,90,3
165740.13,90,3
8871386.39,100,
1068567.88,100,
5759950.73,90,3
2969060.56,94,3
4184638.38,96,1
2567314.1,90,1|3
7060750.21,94,1|3
1467185.21,100,
9510262.25,92,1|3
6611333.19,96,1
3279433.32,92,3
2089262.8,100,
411410.94,96,1
4417549.01,96,1
5188081.75,86,1|3
8191332.99,90,2|3
3345545.87,97,2
8733975.1,93,1|2|3
13820.74,98,3
330694.78,51,1|2|3|4
8150287.45,100,
2344840.29,96,1|3
2492033.33,100,
5817379.44,96,1
606682.66,94,1|2
9892253.64,98,3
1180120.01,94,1|3
9959442.73,94,1|3
7851444.27,96,1
433403.37,86,1|3
4043034.19,100,3
8372500.13,96,3
9674724.5,100,
6121194.29,94,1|3
3106944.81,90,2|3
1865433.19,100,3
4326611.89,94,3
5736437.44,95,1|2
1256170.59,96,1
8618156.87,94,1|3
5032897.3,100,
1071976.78,88,1|3
9417059.85,98,3
3697000.0,96,1
3584225.18,100,
5358862.94,96,1
2585831.58,76,1|4
5717300.95,96,1|3
920340.93,90,3
8016484.05,96,1
5422127.04,95,1|2
2416869.14,92,1|3
9850849.86,96,1
3354949.41,86,1|3
7489185.38,88,1|3
9940060.04,96,1
5013632.79,87,2|3
4008902.14,95,1|2
3101096.04,96,1
4493964.55,88,1|3
9087748.63,100,
9720656.82,96,3
3106844.72,96,3
5690676.89,94,3
9193024.27,96,1
4418491.54,96,1|3
5781221.9,93,1|2|3
3812832.48,90,3
3070892.95,96,3
3696623.79,96,1
8903467.7,96,1
6631459.58,48,1|3|4
444746.81,100,
7839161.58,98,3
4363527.7,99,2
1738270.59,98,3
8745375.86,98,3
1221927.26,98,3
7041614.75,100,
6379179.35,98,3
7324392.72,96,1
5042825.56,96,1
3927956.13,96,3
1248299.39,86,1|3
5533287.31,100,
7900702.48,100,
2992011.99,97,2|3
5170777.34,93,1|2
476671.13,96,1
7431845.08,92,1|3
8430426.34,93,1|2
6171985.23,100,
3963237.47,96,1
6311810.38,100,
2554077.17,96,1
14977.78,93,1|2
4195289.47,100,
1387872.27,96,1
9918559.23,94,3
4852651.17,98,3
3930106.1,100,3
5438811.36,86,1|3
7896622.64,100,
5280446.89,91,1|2|3
849865.29,100,3
2435476.06,88,1|3
9570270.84,96,1
2906620.73,100,
1010326.7,96,1
9074650.9,96,1
3164554.74,100,
2269184.4,94,1|3
4329793.94,100,
1930482.21,100,
6292726.31,90,3
2614306.93,94,3
8486429.32,88,1|3
5279426.7,96,1
4418364.45,94,3
4334949.35,96,1
8487199.1,94,3
7138262.52,96,1|3
3667158.55,90,2|3
2440155.82,96,1
3880622.02,96,1
9071150.89,99,2
9805062.45,90,3
7657801.28,96,1
5853169.38,100,4
4147460.37,94,1|2
8930993.46,96,1
225560.85,96,1
9217063.4,100,
6826990.01,100,
6677791.83,83,1|2|3
811365.85,96,1|3
5121525.28,100,
885190.88,88,1|2|3
4611994.52,92,1|3
637751.06,95,1|2
1447719.27,96,1
3285900.38,94,1|2
2702544.18,92,3
7681571.62,50,4
8033107.99,97,2
8659530.01,100,
3280323.02,98,3
342099.62,44,3|4
2241320.51,92,1|3
1322144.45,100,
3776932.33,88,1|2|3
8911342.83,98,2
469133.4,46,1|4
7083436.94,100,3
3911660.1,91,1|4
6255977.09,94,1|2
2642362.86,88,1|3
7714353.85,96,1
4774169.92,94,1|3
3676921.31,94,1|3
2040583.54,96,1
8086675.76,96,1
1873604.97,100,
4873029.0,96,3
9630708.78,88,1|2|3
6251083.93,96,1
8294526.79,100,
3310650.39,100,
7415357.15,95,1|2
5227298.78,100,
4445131.27,96,1
8924589.88,86,1|3
1401528.26,94,1|2
7969661.71,96,1
9829336.43,86,1|2|3
5967775.02,78,3|4
2800947.54,90,3
4271515.35,100,3
2396528.31,96,1
4890302.61,93,1|4
8368623.18,100,
258216.86,90,3
2834505.04,98,2
5414699.5,88,1|3
4463207.92,96,1
2632311.88,92,1|3
4248383.15,94,1|3
4518071.69,92,3
7353139.26,97,2
9915700.78,95,1|2
3227645.68,92,1|3
9203853.98,100,
325896.24,100,
457182.02,100,
972666.48,96,1|3
4101861.73,96,1
6816497.79,100,
9995637.28,96,1|3
8346135.87,96,1|3
7224441.36,92,1|3
8566114.97,96,1
6645235.28,87,2|3
877658.77,96,1|3
6267426.47,94,3
9478756.48,96,1
4313263.83,96,1
5963525.06,100,
9125532.51,90,3|4
2350420.77,96,1
8499892.91,96,1
5189791.7,100,3
2847207.8,98,3
5941525.13,100,3
1221872.11,96,1
9061125.55,98,3
4706986.22,93,1|2|3
2273964.78,98,3
5841191.87,96,1
7699900.52,96,1
5412108.33,94,1|3
1286165.6,100,
5092934.46,94,1|2
6264284.7,86,1|3
2592797.04,96,1|3
624462.41,93,1|2|3
6240451.35,100,
9245353.51,100,3
7721974.43,98,3
9386346.22,86,1|3
3200599.62,100,
1702581.14,100,
7942735.5,96,1
2052288.15,100,
5528697.46,32,3|4
5096157.47,96,1|3
6190223.98,86,1|2|3
5867860.29,95,1|2|3
2324807.14,100,
2975570.7,94,3
437810.15,96,1
4030969.86,98,3
5584356.28,96,3
6254573.45,98,3
569833.08,96,1
6826586.5,92,2|3
1854009.09,100,
6968738.34,96,1
824141.73,88,1|3
3391352.59,96,1
4437502.39,96,1|3
6096852.44,96,3
9149088.22,86,1|3
7599054.02,92,1|3
2379935.87,83,1|2|3
9804475.78,98,3
4795046.49,95,1|2
9567076.59,100,
2850547.42,94,3
3699268.24,100,
6419088.36,96,1
4567004.33,93,1|2|3
8340184.94,100,
7992329.73,92,3
7680126.11,100,
4803000.23,98,3
4856390.15,100,
8050836.2,95,1|2|3
6301749.16,100,3
146629.53,95,1|2
6008053.49,100,3
5373520.24,97,2
6099380.81,100,3
3597418.02,90,2|3
7622049.26,94,1|3
4376014.65,90,3
5714285.86,96,1
24953.75,88,1|3
4536729.24,100,
145278.53,92,3
8721393.55,100,3
7194313.51,90,3
6562179.13,94,1|3
9187677.97,100,
6810940.77,100,3
7045965.74,94,1|3
2677243.91,96,1
9545862.55,90,3
5419389.99,100,
7158473.88,95,1|2|3
7356852.7,94,3
4097120.66,96,3
2054527.55,94,1|3
6466623.37,46,1|4
7102013.61,94,3
4227547.26,100,
3694154.66,95,1|2
1786958.31,100,
805392.62,87,2|3
2512210.93,100,
1537829.09,95,1|2
2559357.78,96,1
6604630.2,100,
9891179.71,98,2
6332017.86,95,1|4
1441282.71,100,
4058517.13,96,1
2920827.25,92,1|3
2826637.04,100,
2024793.78,96,1
4115030.24,100,
4009440.21,100,
7098100.52,90,1|3
4158875.87,88,1|3
7641395.08,86,1|3
1294580.91,86,1|3
1757744.01,95,1|2
6920912.9,88,1|3
1197764.8,100,3
8461777.08,97,2
851856.03,96,1
3966942.14,96,1
3099534.07,95,1|2|3
9292127.43,96,1
7705008.02,96,1
9281689.71,96,1
4029534.41,99,2|3
6995196.76,100,
4795527.52,99,2
5604141.18,91,1|2|3
7176220.75,95,1|2|3
3946044.13,96,1
840245.64,96,1
3229356.69,96,1
2378501.36,100,
4899640.91,94,1|3
4532188.49,88,1|3
6112319.36,96,1
362688.05,96,1|3
4091328.26,100,
9063404.2,95,2|3
8185525.02,96,1
102201.39,100,
5579920.85,94,1|3
9124823.6,86,1|3
9371903.41,96,1
941016.92,90,3
3181257.92,93,1|2
431720.29,98,3
8985004.05,96,1
7907941.18,90,3
5927361.23,100,3
121173.2,100,3
8186006.56,100,
1853927.39,100,
4009162.46,100,
4699935.6,96,1
9876642.77,87,2|3
8962740.1,100,
6464440.26,93,1|2
4887593.26,99,2
8935091.17,96,1
7398490.72,96,1|3
9404090.05,95,1|2|3
283194.5,96,1
175394.25,96,3
5143319.18,96,1
2995805.69,100,
6586857.08,90,3
3189914.42,92,1|3
9805471.58,90,3
4545373.69,96,1
1645148.5,100,
6810138.17,92,3
46827.69,100,
7698494.85,96,1
835325.3,70,4
2113969.52,87,2|3
2362644.64,95,1|2
8931105.07,88,1|2|3
4765606.76,100,
683719.81,94,3
2495887.54,86,1|3|4
7838493.67,96,1|3
3642707.64,81,1|2|4
4154998.9,98,3
4656935.52,94,1|3
5084681.26,96,1
6403693.41,94,3
6614355.98,100,
1949186.67,100,
6551373.17,100,3
134051.92,100,
6371318.83,96,1|3
1236749.8,87,2|4
2899317.36,96,1
1744976.95,95,1|2
782799.53,96,1|3
7528048.85,88,1|3
4047429.1,92,1|3
2402578.3,96,1
8641230.25,96,1
2975350.73,52,1|3|4
6337145.57,88,1|3
8995648.42,90,3|4
3611966.48,94,1|3
8883130.76,100,
2427529.79,92,1|3
5945767.74,97,2
6736639.89,96,1|3
2571710.06,98,3
2965564.43,90,3
5815831.26,100,
3655351.93,95,2|3
9256094.6,90,1|3
6990542.6,96,1
6983388.65,100,
5249273.47,86,1|3
9354129.38,94,1|2
9262843.38,92,3
2604637.94,90,3|4
7818847.58,95,4
2656455.02,100,
1910896.35,94,3
682818.62,96,1
6407818.03,86,1|3
8948646.13,95,1|2
4138830.95,96,1
4008844.12,96,1
8271785.49,96,3
5457191.99,99,2
1935214.14,96,3
3425524.48,88,1|3
2043914.27,100,
7061189.08,86,1|3
8904380.4,94,3
273825.52,100,
4313004.28,96,1
4304320.1,100,
23966.7,83,1|2|3
5137985.32,90,2|3
7537774.16,90,2|3
8493654.13,94,3
897702.11,94,3
3587339.41,92,1|3
4209616.05,95,1|2
9448945.16,94,1|3
6134559.91,96,1
8565710.89,50,2|3|4
9358059.63,90,1|3
9229368.7,92,3
8500463.66,92,3
4905393.99,86,1|3
2271033.38,96,1
6669103.02,98,3
5222635.34,92,3
9605839.99,99,2
1060525.1,94,1|2
6293169.7,83,1|2|3
9026731.55,97,2|3
77639.06,90,4
6306215.36,93,1|2
1598341.4,100,
3671237.93,86,1|3
2873452.98,88,1|3
2657659.16,96,1|3
4088259.01,78,3|4
5626778.23,100,
4737288.94,100,
4650461.1,95,2|3
8891804.99,96,1|3
9533611.94,96,1
4945430.27,86,1|3
6198756.96,91,1|2|3
9163803.3,96,1|3
5492633.83,99,2|3
5685056.96,100,
6891842.57,96,1|3
5271871.86,96,1
6758337.38,86,1|3
312500.29,100,
1451613.16,96,1
2082823.69,95,1|2|3
7600970.32,90,3
2623586.56,92,3
7523768.99,88,1|2|3
1519773.84,96,1
25728.48,100,
3356884.03,94,1|2
2232286.25,100,
6263397.6,96,1
1258356.6,20,4
5963565.28,96,1|3
7994696.4,88,1|3
2839961.01,98,3
78451.19,96,1
6832251.9,94,3
9763444.67,100,
8172146.06,92,2|3
1041866.17,92,3
607184.58,96,1
3757632.68,94,1|3
7129690.03,96,1
6131176.74,100,
5368266.51,100,3
4082064.35,96,1
4946948.64,92,3
1912283.66,100,
1099340.7,86,1|3
9918903.7,96,1|3
2345996.11,76,1|4
7696998.78,96,1
5292877.25,88,1|3
7660280.45,90,1|3
1208029.98,96,1
2626533.24,92,1|3
7797854.8,97,2|3
3915918.89,90,3
5458780.42,94,3
4903445.93,95,2|3
5237167.1,100,
9393784.45,86,1|3
8842556.31,96,1
1002342.71,94,3
9182128.88,88,1|3
3545833.1,96,1
2943729.88,96,1|3
3602702.84,100,
8415610.35,98,3
7644141.67,92,3
5526517.17,96,1
2148263.82,95,1|2
4131921.09,98,3
1183242.11,93,1|2
521044.55,96,1
7413934.19,91,1|2|3
572704.98,96,1
3036222.54,98,2
6191205.87,94,3
4718967.18,86,1|3
9313857.51,90,1|3
2330913.43,94,1|3
1852720.62,94,1|3
8200551.98,86,1|3
8116941.26,93,1|2
1949798.67,96,1
7914280.68,100,
9870177.58,96,1
4374784.79,94,1|3
478594.83,100,
7738047.82,36,1|3|4
9963360.43,100,
3558766.82,96,1
7206685.2,96,1
8642807.05,100,
9395045.93,96,1
4118434.64,96,1
738963.38,95,1|2
1765997.34,94,3
9577044.42,96,1
4803392.11,96,1|3
5144818.88,100,
4718775.68,96,1
6946556.74,56,1|4
8258752.65,96,1
4037176.58,93,1|2|3
36166.43,96,1|3
8995911.5,96,1
8359507.79,99,2
1441823.2,100,
8465490.84,100,
1044191.67,98,2
7901451.51,90,3
9027289.31,94,1|3
6968985.24,30,2|3|4
9780507.64,96,1
3864481.22,100,
1232129.56,100,
4151700.46,66,1|4
140954.82,86,1|2|3
9951036.7,90,2|3
4443711.29,88,1|3
6049264.09,92,1|3
7469836.7,94,3
277548.54,56,1|4
7303588.68,94,3
2073611.4,94,1|3
8347088.48,92,3
3361765.59,95,1|2
51189.59,28,1|3|4
2289542.63,90,3|4
803879.39,100,
323776.52,92,3
9059728.0,100,
3547706.38,90,3
848764.69,96,1
2945757.51,97,2
9021129.85,100,3
5757890.77,94,1|3
2117626.93,94,1|3
8295184.66,96,1
6567093.03,93,1|2|3
752799.36,100,
9847738.2,88,1|3
7439993.59,96,1
7482987.54,98,2
5925195.25,99,2
5784016.66,92,3
9067924.35,86,1|3
962201.09,94,1|3
9152226.44,96,1
4160468.8,100,
1632745.92,100,
8739737.89,100,
1333340.85,100,
5653388.77,88,1|3
9681153.08,96,3
3743534.47,90,3
1579778.53,96,1|3
4179007.17,96,1
8510468.59,63,1|2|4
7114268.14,92,3
6129144.98,96,1
2979512.57,94,3
108789.29,96,1
60627.9,96,1
2206857.27,96,1
3858603.58,86,1|3
9066647.9,94,1|3
2180922.38,96,1|3
6508786.13,92,3
1025088.25,96,1
5073915.36,100,
5041276.73,79,2|4
5082487.96,36,1|4
6733211.64,92,1|3
5093337.92,96,1
4111493.57,96,1
5535821.1,94,3
8825229.13,98,3
4273862.87,92,3
1692486.31,96,1
2316200.27,100,
2941909.04,90,3
6574515.4,99,2
8356714.13,76,1|4
9918219.86,94,1|3
7607714.76,90,3
3608972.53,86,1|4
2487764.68,99,2|3
3571766.81,100,
7943943.44,94,3
2597869.66,100,3
3014227.28,99,2
3327773.53,100,
8566126.22,92,1|3
7599482.76,96,1
7835486.23,98,3
7475280.22,96,1|3
2091919.02,94,1|3
4083193.74,100,3
4532926.87,94,1|3
3600817.71,99,2
2583260.87,100,
1885260.39,100,
1711390.61,64,3|4
9353244.94,90,1|3
5084626.67,52,3|4
6396252.27,96,1
4318178.58,92,3
4974269.94,92,3
9996622.72,96,1|3
9805132.63,86,1|3
8624474.23,92,2|3
7476046.15,100,
5197799.24,90,4
7464185.63,70,3|4
3793583.73,100,3
5264676.37,100,3
972158.94,100,
6900749.74,96,1
3096008.17,90,3
4410085.1,100,
1897269.23,100,
7496680.34,95,1|2|3
6687078.76,88,1|3
5148978.09,92,1|3
7149413.76,100,
1645205.64,96,1
8432235.85,95,1|2|3
793127.52,90,1|3
9173485.9,90,1|3
8826456.43,100,
3106338.2,100,3
4675661.64,90,1|3
142206.45,96,1
6544127.95,96,1
7868977.74,96,1
3048185.12,96,1|3
6549511.43,98,2
383199.22,96,1
3959958.26,100,
5253669.26,97,2
2547069.3,96,3
9532144.92,96,1
5304384.5,90,1|3
4014635.2,100,
9209833.04,96,1|3
3396761.83,86,1|3
8217189.28,98,3
1636904.73,99,2
6744071.07,94,1|3
9451699.51,88,1|3
7693350.44,86,1|3
1183939.71,98,3
5474057.28,100,
4524251.15,83,1|2|3
7595671.84,100,
6815735.87,93,1|4
6497321.78,86,1|3
9374985.5,90,1|3
2591935.8,100,
9410519.71,100,
4638769.19,93,1|2|3
3380301.18,100,
1833287.88,46,1|4
2331923.15,96,1
839219.65,95,1|2
3257578.66,96,1
3681818.61,90,2|3
8517399.37,100,3
3431364.23,96,1
5637603.27,96,1
5066682.84,96,1|3
812142.32,98,2
291045.54,100,
8287293.43,100,
835890.0,94,3
6602190.27,98,2
5410285.42,96,3
6120286.89,44,1|2|4
3699017.69,90,1|3
5962784.63,96,1
7550645.68,96,1
2615209.06,98,3
9538199.08,84,1|3|4
6757807.4,92,1|3
1486981.15,96,1
722548.55,86,1|3
8436202.7,96,3
2606380.59,94,3
4587989.22,96,1
2802819.04,96,1
7839440.14,88,1|2|3
619616.14,97,2
3030070.97,86,1|3
5802480.67,100,3
1700376.66,90,1|3
1065280.15,94,1|2
2763407.33,96,1
2613832.74,100,
1165263.65,98,3
84841.29,96,1
7035104.2,96,1|3
7523508.0,96,1|3
2157688.37,96,1
978332.74,94,1|3
6441568.99,88,1|3
593691.6,98,2
1411797.14,94,3
3169834.73,96,1
8762205.56,99,2
2441307.68,96,1
2128294.34,88,1|2|3
9973752.6,88,1|2|3
671171.48,98,3
7966117.05,96,1
418768.58,95,1|2
1694674.96,88,1|3
8114665.01,100,
1769482.19,96,1
5416609.67,94,3
9604866.39,96,1
6450303.5,95,1|2|3
3531668.79,100,
5529496.53,96,1
8141024.51,100,
9644322.24,94,1|3
2248589.82,86,1|3
6069038.71,96,3
7375875.65,95,1|2
6685041.1,100,
250351.63,96,1
4946620.95,99,2
3302707.89,100,
1074283.36,90,1|3
3845097.04,100,
4550121.21,96,1
1718533.41,86,1|2|3
5682626.69,94,3
9331242.95,96,1
1099105.32,94,3
9340033.35,87,2|4
2365564.44,92,3
9900981.66,60,1|3|4
9218212.95,100,
5383863.0,100,
1479693.64,90,3
4613524.27,100,
5281594.27,96,1|3
3698549.77,98,2
5868306.18,90,3
6403493.09,90,3
5299786.7,94,1|3
9091466.03,100,
2408039.55,94,3
8366344.21,91,1|2|3
8073167.52,100,
4819965.19,93,1|2
6557767.9,90,3
9418305.75,92,1|3
5795437.51,100,3
6954986.6,67,1|3|4
34411.61,96,1
9112918.38,96,1
4808559.45,96,1|3
8297607.35,96,1
201157.39,92,2|3
7300272.85,96,1|3
1735804.47,98,3
3765509.99,86,1|3
9782174.58,92,2|3
4108601.0,96,1
9572833.93,95,1|2|3
5092583.41,88,1|3
448221.4,98,3
8285579.24,96,1
5779202.11,86,1|3
4567654.54,95,2|3
8505615.97,100,
9092949.58,96,1
5702314.9,100,
3173578.63,100,
7358012.67,100,
4366609.28,86,1|3
5451425.73,90,3
8781200.61,90,3
8101667.52,94,1|2
914449.05,96,3
4346669.82,100,
5234720.72,95,2|3
9882163.88,96,3
7878945.34,100,
6888973.96,88,1|3
9310354.57,96,1
9046661.07,32,3|4
5471883.63,96,1|3
8081139.3,76,1|4
3687262.65,92,1|3
9382382.61,95,2|3
8275418.89,94,1|3
6858869.66,100,
5160346.23,96,1
6508442.18,92,3
3829921.86,98,3
5434092.97,100,
9693806.62,96,1
4779527.52,100,
5005340.03,99,2
4176297.0,87,2|3
4847397.33,100,
13054.52,92,3
6802121.59,96,1
8503222.06,86,1|3
1060539.29,91,1|3|4
1867182.25,96,1
6788379.83,98,3
9149395.03,96,1
6703616.15,99,2
3543362.46,96,1
1928961.42,92,1|3
1654378.21,83,1|2|3
4850045.56,96,1
5655938.87,97,2
5193987.11,92,3
6002444.9,100,
9904268.65,100,
5110152.91,98,3
4863267.81,88,1|3
4834389.29,56,1|4
9163361.67,100,
3224451.27,96,1
8811870.04,92,1|3
2716753.32,98,2
4642807.26,100,
6651793.34,96,1
9648778.16,96,1
599318.78,95,1|2
5443951.56,96,3
5237903.04,96,3
8202691.4,99,2
7258828.18,100,
9742066.31,80,4
4666050.76,86,1|3
8269972.43,96,1
4248602.17,90,3
5064165.75,90,3
4019238.17,94,1|3
4738638.56,96,1
50428.35,60,4
3612817.19,93,1|2|3
8234136.77,100,
7306827.38,86,1|2|3
6080374.3,90,1|3
8284845.63,97,2
9154297.92,96,1|3
5850447.1,92,2|3
495371.11,95,1|2
59576.04,96,1
2722848.34,96,3
230670.73,86,1|3
6160189.6,96,1
1028874.64,100,3
5699878.08,100,
4488964.51,83,1|2|3
6514085.48,97,2
875301.73,92,1|3
8021310.33,96,1|3
9075622.47,95,1|2|3
4727329.28,98,3
8519648.93,94,1|2
9657120.8,90,1|3
5839700.99,100,
4576084.89,96,1
4413035.92,100,3
5690856.53,100,
8848949.66,96,1
8811773.72,96,3
3697661.5,96,1|3
6887125.44,96,1
1929783.0,95,2|3
1867380.25,96,3
1520901.43,97,2
3024780.6,100,
7588978.1,92,3
6926215.68,96,1
9398226.78,97,2|3
9176596.67,98,3
1229721.62,96,1
5605421.73,96,1|3
3784491.89,100,
1958452.58,88,1|3
7283715.64,96,1
4275172.28,86,1|3
3275149.27,96,1
8055934.91,92,3
6952222.49,90,3
1029936.83,98,3
2298094.35,96,1
6447396.66,91,1|2|3
7952016.71,86,1|3
9027648.69,96,1|3
4557434.3,98,2
609653.5,96,1
7977436.51,90,3
4389555.03,96,1
7786322.1,83,1|2|3
8701322.58,86,1|3
2653823.7,86,1|3
15853.47,100,
8394998.59,99,2|3
7260419.04,56,3|4
2737294.76,90,1|3
5066661.2,92,1|3
2937710.35,96,1
3059103.1,87,2|3
8507943.68,100,
5541567.17,100,
5185693.22,88,1|3
8422972.28,90,3
6752932.46,94,1|3
4612769.34,96,1
5015962.35,88,1|3
2738546.74,90,3
2483388.9,96,1
6356271.3,88,1|2|3
6906635.2,96,1
6231606.91,100,
4884843.38,96,3
6204797.47,99,2
3617894.46,92,3
6166288.65,92,1|3
6855491.34,94,3
8377096.68,100,
9033140.47,94,3
7957373.93,90,1|3
5217547.86,86,1|3
6651279.13,100,
5994265.83,96,1
3121900.89,88,1|3
9141082.29,92,3
767147.62,100,
930647.28,100,
3607617.44,96,1
5540870.66,97,2
7897028.31,100,
7025582.96,98,3
7284500.42,100,
2790140.74,92,1|3
6351536.29,82,1|2|3|4
3482981.89,87,2|3
7105104.47,96,1
5962282.66,94,3
1908346.63,100,
8068711.03,88,1|3
7783250.72,96,1
7353436.27,96,1
2980724.09,96,1
1145479.0,95,1|2
5377135.79,92,3
8375050.89,100,
6028317.26,100,
935652.58,92,1|3
4928939.45,99,2
9560714.7,96,1
9042203.65,92,1|3
2824942.86,96,1
4438607.51,86,1|3
6986252.86,100,
9581934.09,100,
6597190.73,96,1
5073700.77,96,1
8290807.31,100,
7533969.62,96,1
6669781.5,99,2
836897.04,96,1
7486834.86,94,1|3
9214303.86,96,1
5743718.03,99,2|3
8135275.75,96,1
3971836.72,94,3
6469671.72,96,3
1688945.99,100,
5290618.22,92,1|3
2555804.71,95,2|3
8896296.73,100,
6793622.51,96,1
2116720.26,96,1
6476389.56,92,1|3
3441794.92,100,
7713876.18,100,3
3271321.69,100,
7334185.06,100,
8252433.14,100,
2093455.36,28,1|3|4
768745.32,92,3
4068513.15,83,1|2|3
3189924.39,100,
9175354.52,100,
5127410.03,92,3
3610749.76,94,1|2
5726399.95,96,1
5857045.13,94,3
1007263.46,90,3
1572938.21,96,1
8542669.18,96,1
463009.24,100,
2737682.83,96,1
1254410.0,90,3
6037377.34,86,1|4
9993998.49,90,1|3
8674170.7,96,1
4315582.53,95,2|3
5053437.9,92,3
5248896.54,96,1|3
3198883.12,100,
1465599.61,100,3
6541678.7,100,
