Data Extract Date,Portfolio,Loan ID,Property ID,Original Balance,Current Balance,Arrears Balance,Months in Arrears,CMS,Current LTV,Original LTV,Latest Valuation Amount,Latest Valuation Date,Fitch Product Category,Originator Product Category,Further Advance,Completion Date,Original Term,Maturity Date,Interest Rate Type,Current Index,Reversionary Index,Current Interest Rate,Current Margin,Reversionary Margin,Reversion Date,Loan Purpose,Repayment Type,FTB Flag,RTB Flag,Self Cert Flag,Property Type,Occupancy,Region,Tenure,Bankruptcy Marker,No of CCJs,Value of CCJs,Income Borrower 1,Income Borrower 2,Index Reference Rate,Originator,Possession Flag
201009,7910714.94,2617818.23,3541859.32,126769188.81,16155477.21,196957123.88,47096.36,13068.01,15.87,8.0,71564577.69,20170528,M,Awesome Yacht,Y,23930823,16.78,23931211,fixed,1ML,BBR,97.84,-1.89,-0.8,23790515,ER,ND,N,N,N,SD,BTL,US,Leasehold,Y,0.57,40276.74,92172.96,2351966.82,9.33,Platform,Super chill
198907,6163101.34,1574873.93,6430075.03,14104132.9,101677573.22,128189811.03,63620.08,82846.5,18.8,18.24,56829904.64,20031129,N,Yacht,Y,19921208,26.98,20300919,fixed,1ML,1ML,25.48,-1.4,-1.55,23900926,CO,ND,Y,N,N,BU,SHO,UK,Leasehold,Y,0.57,66679.6,14566.76,5868314.08,12.72,Verso,Super chill
199406,1719616.02,95512.65,2448676.47,169750554.44,9362571.96,41057559.51,61603.21,85011.27,8.31,6.86,86442698.19,20100105,M,Yacht,Y,20200201,8.2,23090322,floating,SVR,FIX,33.59,-0.67,1.14,23840226,ND,ND,Y,Y,Y,FD,BTL,US,Leasehold,N,0.06,1274.43,90283.33,7086093.96,10.26,Platform,Somewhat possessive
199406,2305416.32,9264785.21,510378.44,177942021.99,38398042.92,141859447.25,1298.91,58903.09,18.39,14.7,99818293.67,19940905,N,Bank,N,23480509,4.53,23090414,fixed,1ML,FIX,63.15,-0.2,1.68,19850701,CO,RE,Y,N,Y,OT,BTL,UK,Feudal,N,3.23,95372.17,49765.65,6491288.66,10.08,Kensington,Instagram stalker
200506,1921248.79,4237328.32,5247432.42,41535081.21,97456807.87,97198941.17,74940.38,47511.24,13.61,12.07,61364223.45,19910320,P,Bungaloo,N,21000215,20.81,22920702,floating,OTH,1ML,12.13,-1.52,1.5,22931111,ND,RE,N,Y,N,BU,BTL,UK,Freehold,Y,2.79,55026.69,41118.49,2052443.99,3.12,Kensington,Somewhat possessive
198812,5692255.32,3969340.45,6267123.57,116127174.93,40804512.35,110649654.0,61090.48,65786.45,13.53,13.09,171992758.84,20080726,L,Yacht,N,21470425,9.9,23731113,fixed,SVR,FIX,15.53,0.03,0.37,21710920,CO,ND,N,Y,Y,OT,OWN,US,Feudal,N,3.94,72389.56,76786.31,7875536.27,8.72,Platform,Instagram stalker
201101,7421425.74,7515699.76,9018049.22,124265754.88,70290206.77,79063150.69,98503.77,59909.7,14.6,5.03,25326479.7,19920116,U,Big Yacht,N,21571209,28.89,20040331,floating,OTH,SVR,53.35,-1.18,0.26,21410821,ER,IO,Y,N,Y,SD,SHO,UK,Leasehold,N,2.98,73681.29,76624.7,1334489.44,6.74,SPML,Somewhat possessive
198101,3155807.76,7241766.08,9079903.76,23538754.31,171180005.03,180173257.22,25116.47,15330.58,5.89,12.33,180306284.53,19811027,B,Bungaloo,N,20361105,48.32,20961115,fixed,SVR,BBR,29.61,-1.61,0.62,22270428,RR,IO,N,N,Y,TH,POW,UK,Feudal,N,2.84,1832.3,98398.1,5199813.67,8.31,Verso,Never calls
198611,6893366.75,699657.93,6734468.86,28501676.82,172679186.77,94874346.41,69068.62,73082.03,15.91,6.07,175278171.88,19861111,L,Really Big Yacht,Y,21310908,40.98,21631101,fixed,BBR,3ML,90.34,-1.38,-1.56,19951029,RR,PP,N,Y,Y,DT,ND,UK,Freehold,N,2.73,96544.06,38056.7,9721008.3,5.71,GMAC,Super chill
199204,4434649.62,2414480.55,8728007.0,25766964.47,13121362.37,103761044.24,34460.63,5420.94,10.78,8.11,17224638.61,19930202,U,Bungaloo,N,22750903,17.92,22500815,floating,3ML,SVR,9.8,-1.2,0.35,22610528,RR,PP,N,N,Y,DT,OWN,UK,Leasehold,N,0.97,20583.21,64150.19,3034954.38,10.63,SPML,Somewhat possessive
201704,9188352.43,8551549.88,7154288.43,183667919.96,82346518.42,141596914.49,92957.22,45873.61,16.01,13.54,86145925.45,19800324,M,Bungaloo,Y,20770327,11.11,22561016,floating,BBR,1ML,33.99,0.2,-1.57,20881108,ER,ND,Y,Y,Y,TH,ND,UK,Feudal,N,2.41,36374.32,86505.74,4704533.16,14.71,Platform,Super chill
201503,962710.31,5102100.44,5782636.41,90133500.11,126551008.4,102270876.19,96708.34,10974.44,6.23,11.57,35112932.59,19960705,N,Bungaloo,N,22220528,44.96,21961119,floating,OTH,3ML,26.55,0.22,0.2,20360418,OT,IO,Y,Y,Y,DT,SHO,US,Leasehold,Y,1.51,78864.08,53963.12,7425002.8,12.63,Citibank,Instagram stalker
199211,574444.63,2244619.06,7039105.66,11538187.02,62809540.57,49579270.52,44357.42,80814.81,9.3,11.97,133734205.41,19901115,M,Yacht,Y,20440607,35.74,21830518,fixed,1ML,3ML,75.0,1.98,1.59,21730521,ND,RE,Y,Y,Y,TH,POW,US,Feudal,Y,2.91,65108.04,63533.82,4038126.58,3.86,Kensington,Never calls
200703,9058941.16,6541910.78,3505854.68,73560071.36,13411950.34,36608588.62,76587.14,55957.53,18.53,6.75,115698977.23,20070814,B,Awesome Yacht,N,21940310,23.04,19950826,floating,3ML,FIX,83.62,1.31,1.83,20770702,CO,IO,N,Y,Y,SD,OWN,US,Leasehold,N,2.06,39194.65,544.19,2514802.67,14.58,Platform,Instagram stalker
199908,6104114.58,6090222.11,2061825.49,141475193.83,193049984.67,77789356.32,59654.79,33068.95,7.88,8.97,80537192.14,20160531,U,Yacht,Y,22920309,46.69,22950430,fixed,SVR,SVR,95.72,-1.51,1.8,20550702,RD,ND,N,Y,N,OT,OWN,US,Feudal,N,0.79,23193.28,29995.24,1168741.67,12.35,GMAC,Instagram stalker
200301,7366858.37,1637949.85,411389.87,111999741.4,28362554.23,164526366.9,95010.34,62025.83,19.96,13.91,109947783.83,20110109,B,Bank,N,22250403,28.4,21790316,fixed,FIX,FIX,98.59,-1.1,-1.93,19950710,PU,RE,Y,N,N,SD,POW,UK,Leasehold,Y,3.81,40774.44,19101.23,1388889.94,3.86,Platform,Somewhat possessive
200103,560662.91,3729892.89,8782890.9,98037763.91,88180911.21,64985043.66,16024.51,9050.17,7.58,10.13,55770309.55,20071210,L,Yacht,N,23691030,40.5,21901116,fixed,OTH,1ML,0.9,-0.04,1.31,21610115,CO,RE,Y,Y,Y,DT,POW,UK,Leasehold,N,1.64,1459.92,41077.35,3716567.08,5.34,Citibank,Somewhat possessive
199710,7235954.56,2208906.2,5503566.5,179803496.69,126799243.95,196493299.61,69707.41,76931.12,12.67,9.3,123019595.75,19801114,B,Yacht,N,20890103,38.01,22710520,fixed,1ML,SVR,22.66,0.2,-1.53,20681226,RC,PP,N,Y,Y,ND,ND,US,Freehold,N,2.3,93733.3,30529.9,6555059.3,12.2,Citibank,Super chill
200703,5515246.86,9658980.19,9660925.43,178663118.38,52497843.6,88535262.04,94676.89,72918.05,18.49,18.03,146249768.75,20050610,B,Big Yacht,N,20500519,56.45,21700514,floating,OTH,BBR,17.75,1.21,-1.93,20840201,RR,PP,N,Y,Y,ND,OWN,UK,Feudal,Y,3.6,9397.38,77847.92,5314412.27,2.85,Citibank,Super chill
198308,8879599.59,5402398.49,6258239.19,173964505.54,125936869.16,141780341.55,78706.39,68628.44,8.67,11.38,74689460.06,20040131,N,Really Big Yacht,Y,22440227,26.54,21111028,floating,SVR,OTH,63.48,1.59,-0.09,21380601,OT,IO,N,Y,N,SD,SHO,UK,Leasehold,N,2.76,25683.97,92000.62,6253523.43,7.67,SPML,Super chill
201201,3853404.26,9094163.22,13983.69,150066507.06,73090413.64,144704797.22,95813.9,2476.21,16.41,14.68,190758378.99,20050514,L,Big Yacht,N,22280326,28.85,23891029,fixed,SVR,3ML,59.04,1.69,1.78,23530809,OT,ND,N,N,N,DT,POW,US,Freehold,N,3.32,15877.67,22837.31,2922975.31,3.66,Citibank,Somewhat possessive
199205,5157073.13,7414802.35,3784142.82,81927161.69,133379895.2,152542147.39,24482.92,23132.87,17.6,14.5,26877457.98,19861019,N,Awesome Yacht,N,21020601,10.78,20460815,fixed,SVR,OTH,80.49,1.16,0.3,22200825,RD,PP,Y,N,N,SD,OWN,US,Leasehold,N,2.5,62981.06,71606.71,6697546.72,6.77,GMAC,Somewhat possessive
198302,631680.14,1479186.88,7625254.01,71223031.28,11889183.15,179853225.1,8549.11,16225.37,9.1,17.39,146142212.17,19801220,M,Really Big Yacht,Y,22790921,6.17,20911019,floating,BBR,1ML,9.66,-0.54,-0.14,20000820,PU,OT,Y,Y,Y,OT,ND,US,Freehold,N,0.93,68721.32,57441.91,3351747.54,9.18,Citibank,Super chill
199910,3809342.25,3136204.47,115862.0,122090250.09,130319590.2,121225544.17,29254.32,86443.37,6.28,5.77,131055332.57,20120726,P,Biggest Yacht,N,23340820,29.77,20980505,floating,OTH,FIX,54.99,-1.89,-1.3,19891217,ER,OT,Y,Y,Y,DT,BTL,UK,Leasehold,N,2.58,14528.31,93752.29,2091785.84,8.94,Verso,Clingy
201501,9344522.44,3343978.56,339725.72,163128296.01,90730344.0,36107789.03,91766.91,75659.26,18.43,15.47,38519307.64,19830408,B,Bungaloo,N,20930914,5.57,21180405,floating,3ML,OTH,74.6,-1.86,-2.08,20250728,OT,RE,N,N,Y,DT,OWN,UK,Leasehold,Y,1.41,17383.6,30619.31,497709.06,2.95,Kensington,Super chill
199107,9849034.6,8296702.21,7524013.35,58098423.24,91305958.77,166797826.46,57600.16,7628.24,7.26,6.55,45276890.24,19830811,U,Really Big Yacht,N,21491218,38.2,23610702,fixed,3ML,1ML,0.63,-0.67,-1.18,20090117,RD,IO,Y,N,Y,OT,SHO,UK,Feudal,Y,1.16,22669.03,16369.05,187206.72,4.38,Platform,Never calls
198609,9408781.86,7680024.06,3276936.28,156515559.25,148934373.03,190521498.34,11221.28,28347.88,8.76,17.04,100543429.42,19900620,N,Awesome Yacht,Y,22091230,3.63,21940518,fixed,1ML,OTH,32.11,1.24,0.71,20351107,RC,OT,N,N,Y,DT,OWN,US,Freehold,Y,1.84,46993.21,92814.61,3707025.34,13.33,SPML,Instagram stalker
200502,9200291.73,6771396.68,6977601.84,39924109.21,196554372.03,193295721.75,99784.24,81192.68,15.21,16.58,183074752.58,20000426,P,Big Yacht,N,22320709,6.74,19900906,floating,3ML,BBR,16.24,-0.96,-0.28,21301025,ND,IO,Y,N,Y,ND,ND,UK,Freehold,N,0.82,5556.83,25025.59,2086007.94,6.1,Citibank,Somewhat possessive
199601,9965621.49,6697636.73,4955899.59,19018439.62,122853697.98,119836311.6,32068.63,26842.89,7.94,19.36,118690462.07,19821222,P,Yacht,N,19880803,25.83,20520426,fixed,FIX,OTH,82.53,0.54,0.47,22290328,ND,IO,Y,N,N,BU,OWN,UK,Feudal,Y,2.36,45580.86,50378.33,7237758.47,14.22,Verso,Super chill
198304,2065622.99,2766792.25,9250460.61,34459085.53,23129074.96,125603580.97,30323.23,4533.81,15.41,7.94,175729196.2,20090215,N,Big Yacht,N,21070509,1.44,22920116,fixed,1ML,OTH,26.98,0.83,-1.35,20500913,RD,PP,N,Y,N,TH,POW,UK,Feudal,N,2.46,64630.96,19511.87,2484181.71,8.85,GMAC,Super chill
199404,3906527.94,4974272.27,1096294.24,115684615.52,63327932.19,10883004.4,93799.65,65435.85,17.91,6.97,169423674.74,20050831,B,Big Yacht,Y,22930302,29.39,19910610,fixed,3ML,1ML,14.02,1.37,-2.09,21490305,RD,OT,Y,Y,Y,TH,SHO,US,Freehold,Y,1.04,69701.06,50360.42,9075442.34,8.76,Kensington,Somewhat possessive
201108,4210559.17,9560057.88,6764532.54,54343709.14,39399409.34,84936870.18,21368.26,73246.98,17.37,10.59,173269851.92,19801111,B,Bungaloo,Y,20260109,52.65,20980319,floating,1ML,BBR,68.78,1.79,1.66,22510223,RC,RE,Y,N,N,SD,OWN,US,Feudal,Y,2.1,17125.88,80448.75,30586.66,13.11,Citibank,Never calls
198609,3151904.09,4637186.48,2457716.4,94252901.95,22688464.48,190240176.79,33607.34,84503.8,19.29,7.57,118346291.82,19941201,P,House,N,21530109,8.63,22420112,fixed,1ML,3ML,34.39,0.8,-1.06,21160923,RC,RE,Y,N,N,FD,ND,US,Freehold,N,2.06,66089.27,78422.99,9622368.09,12.69,Verso,Clingy
201602,6392067.08,5118159.65,3270937.82,192856844.19,12246971.24,24691333.57,15513.93,77330.58,17.2,14.85,185331363.48,20000219,U,Yacht,N,20090202,56.48,21800726,fixed,BBR,SVR,72.88,-1.94,0.51,20780820,RC,ND,Y,N,N,FD,BTL,UK,Feudal,N,2.32,79502.72,56624.68,4046492.92,4.61,SPML,Super chill
200201,8946378.49,9702107.13,8117566.16,148119645.58,83569370.32,102892984.93,91158.98,11950.23,17.65,5.58,49299141.67,20000714,M,Yacht,N,22190216,28.83,22161031,floating,SVR,1ML,21.37,0.4,1.4,23980105,ND,PP,N,N,N,DT,ND,US,Leasehold,N,0.35,53449.55,22406.02,3846069.56,5.49,Kensington,Never calls
201304,2388736.52,6277323.5,7369005.21,161983156.78,106314867.94,61627243.78,40027.96,2738.85,15.87,10.48,39943920.04,19801126,P,Bank,N,23961215,57.73,21330225,fixed,OTH,OTH,87.97,0.41,-1.51,21890108,RC,OT,N,Y,Y,SD,OWN,US,Freehold,N,1.41,81331.99,96367.37,9833481.39,14.3,Platform,Clingy
199103,2839487.2,341384.99,4444148.22,37593915.35,84826952.53,169926575.16,91247.83,19976.44,17.43,15.61,111683254.77,19950926,P,Bank,N,23660529,4.46,22150726,floating,SVR,3ML,21.26,-0.44,1.33,20440816,RE,PP,Y,N,Y,BU,BTL,UK,Leasehold,N,3.55,40078.69,90009.27,3950236.98,9.21,Citibank,Somewhat possessive
199510,4756004.39,6736253.33,1016281.08,132790684.21,133342293.49,132582327.46,16776.47,84369.09,12.93,5.94,31157272.43,20170329,M,Bungaloo,N,22681026,49.13,21130526,fixed,SVR,BBR,59.69,1.91,2.09,23130111,PU,OT,Y,N,Y,SD,BTL,UK,Leasehold,Y,3.0,93653.76,98490.54,9365662.38,4.95,Kensington,Never calls
200709,9585830.69,9625358.94,6585358.72,68331274.8,123922666.69,162895887.13,45312.23,13535.69,8.67,11.17,4619551.9,20140825,U,Yacht,N,22890729,23.79,22450829,fixed,SVR,3ML,48.41,-1.48,0.96,21470612,RR,PP,Y,N,N,DT,BTL,UK,Feudal,N,1.28,7571.31,97952.87,2281130.62,9.84,GMAC,Super chill
198101,4778076.45,8881067.03,1240738.61,139169489.09,37482223.96,177575384.62,38433.81,89491.82,18.04,6.55,53553477.86,20020725,N,Really Big Yacht,N,21551111,56.46,22141108,fixed,BBR,BBR,58.11,0.83,-0.5,23761013,RE,RE,Y,Y,N,FD,OWN,US,Feudal,Y,1.5,73173.55,32455.2,6547014.7,7.77,GMAC,Clingy
199408,2535823.19,5454163.0,8050448.07,58708482.97,122071370.77,169462687.51,53845.17,71529.58,12.86,15.66,195973331.2,20161123,N,House,N,23900517,26.74,22301201,floating,OTH,BBR,86.77,-0.57,1.37,21931009,PU,ND,N,Y,N,BU,ND,UK,Freehold,Y,3.08,68507.53,99360.86,7844667.49,4.1,SPML,Never calls
198903,945025.16,9688300.39,8553286.56,143268118.53,141004112.11,114040161.87,12198.24,53473.97,18.73,10.29,173380021.59,20150903,N,Yacht,Y,22681104,36.48,20170919,fixed,BBR,SVR,94.06,-1.25,0.42,21751008,CO,PP,Y,Y,Y,BU,BTL,UK,Feudal,Y,0.15,32765.67,10837.44,9316645.37,11.69,Platform,Clingy
